serial,modbus_address,parameter_description,standard,data_type,data_range,model,mod_default,register_number,indb,setup
1,"[[4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155]]",serial_number,Acurev 1300,string,Manufacturer specific value (32 chars),"[1, 4]",NULL,16,f,t
2,"[[4096, 4097]]",sunspec_id,sunspec,Uint16,0x53756e53,"[1, 4]",1,2,f,t
3,[4098],id,Acurev 1300,Uint16,1,"[1, 4]",1,1,f,t
4,[4099],lenth,Acurev 1300,Uint16,65,"[1, 4]",65,1,f,f
5,"[[4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107]]",manufacturer,Acurev 1300,string,Well known value registered with SunSpec for compliance,"[1, 4]",Accuenergy,16,f,t
6,"[[4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123]]",model,Acurev 1300,string,Manufacturer specific value (32 chars),"[1, 4]",AcuRev1300,16,f,t
7,"[[4132, 4133, 4134, 4135, 4136, 4137, 4138, 4139]]",options,Acurev 1300,string,Manufacturer specific value (16 chars),"[1, 4]",AcuRev130X,8,f,f
8,"[[4140, 4141, 4142, 4143, 4144, 4145, 4146, 4147]]",version,Acurev 1300,string,Manufacturer specific value (16 chars),"[1, 4]",H:1.10 S:1.01,8,f,t
9,[4164],device_address,Acurev 1300,uint16,Modbus device address,"[1, 4]",NULL,1,f,f
10,[4165],id,Acurev 1300,Uint16,Meter (Single Phase) single phase (AN or AB) meter --201 split single phase (ABN) meter â€“202 wye-connect three phase (abcn) meterâ€”203 delta-connect three phase (abc) meter --204,"[1, 4]",NULL,1,f,f
11,[4166],lenth,Acurev 1300,Uint16,105,"[1, 4]",NULL,1,f,f
12,[4171],current_scale_factor,sunspec,sunssf,-3~+5 (used as exponent of a power of 10),"[1, 4]",NULL,1,f,f
13,[4180],voltage_scale_factor,sunspec,sunssf,-2~2,"[1, 4]",NULL,1,f,f
14,[4182],frequency_scale_factor,Acurev 1300,sunssf,-2,"[1, 4]",NULL,1,f,f
15,[4187],real_power_scale_factor,sunspec,sunssf,0 ~ 4,"[1, 4]",NULL,1,f,f
