model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
acurev-1313-5a-x0,523,reset,reset,NULL,3,word,W,f,t,t,f,3,16,0,NULL
acurev-1313-5a-x0,530,ct2_value,ct2_value,NULL,1,word,r/w,f,t,f,f,3,16,0,NULL
acurev-1313-5a-x0,531,ct,ct1_value,NULL,1,word,r/w,f,t,f,f,3,16,1,NULL
acurev-1313-5a-x0,532,ctn_value,ctn_value,NULL,1,word,r/w,f,t,f,f,3,16,2,NULL
acurev-1313-5a-x0,533,vt2,pt2_value,NULL,1,word,r/w,f,t,f,f,3,16,3,NULL
acurev-1313-5a-x0,534,vt,pt1_value,NULL,2,word,r/w,f,t,f,f,3,16,4,NULL
acurev-1313-5a-x0,4100,manufacturer,manufacturer,NULL,16,utf-8,r,f,t,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4140,firmware_v,firmware_v,NULL,8,utf-8,r,t,t,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4148,serial_number,serial_number,NULL,16,utf-8,r,f,t,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4164,device_address,device_address,NULL,1,uint16,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4165,id,id,NULL,1,Uint16,r,t,t,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4167,current_total,amps_total,A,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4168,current_l1,amps_phase_a,A,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4169,current_l2,amps_phase_b,A,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4170,current_l3,amps_phase_c,A,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4171,current_scale_factor,current_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4172,voltage_ll,voltage_ln_average,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4173,voltage_l1,phase_voltage_an,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4174,voltage_l2,phase_voltage_bn,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4175,voltage_l3,phase_voltage_cn,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4176,voltage_ln,voltage_ll_average,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4177,voltage_l1-l2,phase_voltage_ab,V,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4178,voltage_l2-l3,phase_voltage_bc,V,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4179,voltage_l3-l1,phase_voltage_ca,V,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4180,voltage_scale_factor,voltage_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4181,frequency,frequency,Hz,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4182,frequency_scale_factor,frequency_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4183,watts,total_real_power,W,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4184,watts_l1,watts_phase_a,W,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4185,watts_l2,watts_phase_b,W,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4186,watts_l3,watts_phase_c,W,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4187,real_power_scale_factor,real_power_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4188,va,ac_apparent_power_va,VA,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4189,va_l1,va_phase_a,VA,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4190,va_l2,va_phase_b,VA,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4191,va_l3,va_phase_c,VA,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4192,apparent_power_scale_factor,apparent_power_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4193,var,reactive_power_var,VAR,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4194,var_l1,var_phase_a,VAR,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4195,var_l2,var_phase_b,VAR,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4196,var_l3,var_phase_c,VAR,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4197,reactive_power_scale_factor,reactive_power_scale_factor,NULL,1,sunssf,r,t,t,t,f,3,NULL,NULL,NULL
